Ensayo de Compresion - Specimen_RawData_1
C10: 1.2462, C20: 0.0000, C30: 0.0000 (kPa)
Lambda Stress(kPa)
0.90863530 0.28859800
0.90849795 0.28906283
0.90836061 0.28972085
0.90827002 0.29034348
0.90813267 0.29203193
0.90799532 0.29139370
0.90785798 0.29008295
0.90776739 0.29255848
0.90763004 0.29248559
0.90749269 0.29268455
0.90735535 0.29723924
0.90721800 0.29462693
0.90708065 0.29636988
0.90694331 0.29626781
0.90680888 0.29706023
0.90667154 0.29708671
0.90657802 0.29824949
0.90644068 0.29697533
0.90630625 0.29794576
0.90621274 0.30015804
0.90607832 0.30098488
0.90594097 0.30094640
0.90580362 0.30105072
0.90566628 0.30318963
0.90557569 0.30353049
0.90543834 0.30360579
0.90534775 0.30427480
0.90525424 0.30636985
0.90511689 0.30436845
0.90502630 0.30616430
0.90488895 0.30645308
0.90479836 0.30605153
0.90466102 0.30703908
0.90457043 0.30687999
0.90443308 0.31060483
0.90429573 0.30895380
0.90420514 0.30791786
0.90406780 0.31018007
0.90397721 0.31284253
0.90383986 0.31301586
0.90374927 0.31299873
0.90361192 0.31245969
0.90351841 0.31266238
0.90338399 0.31324252
0.90329047 0.31404318
0.90319988 0.31427511
0.90306254 0.31510290
0.90297195 0.31349825
0.90283460 0.31619052
0.90274401 0.31788799
0.90260666 0.31756926
0.90242548 0.31689375
0.90228814 0.31974740
0.90215079 0.32082943
0.90201344 0.32097967
0.90192285 0.32125315
0.90178551 0.32241978
0.90164816 0.32279712
0.90155757 0.32132203
0.90142022 0.32467666
0.90132671 0.32548846
0.90119229 0.32480768
0.90109877 0.32538484
0.90096435 0.32724674
0.90082700 0.32706194
0.90073349 0.32731909
0.90059614 0.32783001
0.90046172 0.32851218
0.90032437 0.33025051
0.90023086 0.33112453
0.90009643 0.33098994
0.89995909 0.33060601
0.89982174 0.33253451
0.89973115 0.33347977
0.89959380 0.33282611
0.89945646 0.33651888
0.89936587 0.33676856
0.89922852 0.33758900
0.89909117 0.33632552
0.89895383 0.33806694
0.89881648 0.33813574
0.89867914 0.33991174
0.89854179 0.34094348
0.89840444 0.34023983
0.89827002 0.34221403
0.89813267 0.34109267
0.89799532 0.34552127
0.89790473 0.34433979
0.89776739 0.34623324
0.89767680 0.34578789
0.89753945 0.34587649
0.89744594 0.34523206
0.89730859 0.34628265
0.89721800 0.34700444
0.89708065 0.34655533
0.89694331 0.34878598
0.89680888 0.34948305
0.89671537 0.35143993
0.89658095 0.35184663
0.89644360 0.34796276
0.89635009 0.35074565
0.89621274 0.35426657
0.89607832 0.35115494
0.89598480 0.35512995
0.89584746 0.35444702
0.89575687 0.35453121
0.89561952 0.35439213
0.89552893 0.35507632
0.89539158 0.35621468
0.89530099 0.35574108
0.89516365 0.35840318
0.89507306 0.35850802
0.89493571 0.35776167
0.89484512 0.36010963
0.89470777 0.36238175
0.89461718 0.36266945
0.89452367 0.36254693
0.89438632 0.36130683
0.89429573 0.36423101
0.89415839 0.36382970
0.89402104 0.36490138
0.89388662 0.36575548
0.89374927 0.36417753
0.89361192 0.36837617
0.89347458 0.36673489
0.89333723 0.36653063
0.89324664 0.36752852
0.89310929 0.37057669
0.89297195 0.37023110
0.89288136 0.37108036
0.89274401 0.37133292
0.89265342 0.37175965
0.89255991 0.37189660
0.89242548 0.37236819
0.89233197 0.37375707
0.89219755 0.37491746
0.89206020 0.37483162
0.89192285 0.37438722
0.89178551 0.37594639
0.89169492 0.37606283
0.89155757 0.37695367
0.89142022 0.37962902
0.89132963 0.37782690
0.89119229 0.37903317
0.89110169 0.38092632
0.89096435 0.38056561
0.89082700 0.38144088
0.89068966 0.38269501
0.89059906 0.38402504
0.89046172 0.38513101
0.89032437 0.38516284
0.89018703 0.38558059
0.89004968 0.38657349
0.88995909 0.38654116
0.88982174 0.38954671
0.88968440 0.38978113
0.88954705 0.38862708
0.88940970 0.39082460
0.88927236 0.39168954
0.88913793 0.39233122
0.88900058 0.39276816
0.88886324 0.39183866
0.88872589 0.39441219
0.88863530 0.39596909
0.88854471 0.39681825
0.88840736 0.39698801
0.88831385 0.39515364
0.88822326 0.39732584
0.88808591 0.39740441
0.88799532 0.40005879
0.88785798 0.40010889
0.88772063 0.40055083
0.88763004 0.40002716
0.88749269 0.40202903
0.88735535 0.40187589
0.88726476 0.40179289
0.88712741 0.40613625
0.88699006 0.40436037
0.88685272 0.40683541
0.88671537 0.40752030
0.88662478 0.40583625
0.88653419 0.40772355
0.88644360 0.40866713
0.88635009 0.40957423
0.88625950 0.41032878
0.88612215 0.40861673
0.88603156 0.40981816
0.88589421 0.41209401
0.88575687 0.41237225
0.88561952 0.41281094
0.88548510 0.41346722
0.88534775 0.41604112
0.88521040 0.41459497
0.88511981 0.41552934
0.88498247 0.41626013
0.88484512 0.41689999
0.88475453 0.41801503
0.88461718 0.42062784
0.88452367 0.41820578
0.88438925 0.42029637
0.88429573 0.42265679
0.88416131 0.42131015
0.88402396 0.42199730
0.88393045 0.42110259
0.88379310 0.42442992
0.88365868 0.42370364
0.88352133 0.42557392
0.88338399 0.42549383
0.88329340 0.42698896
0.88315605 0.42719407
0.88301870 0.42930629
0.88288136 0.43052006
0.88274401 0.42926320
0.88265342 0.43136907
0.88251607 0.43129499
0.88237873 0.43284154
0.88224138 0.43258640
0.88210403 0.43501531
0.88196669 0.43448872
0.88183226 0.43490909
0.88173875 0.43687165
0.88160432 0.43731930
0.88146698 0.43964835
0.88137347 0.43751743
0.88123612 0.43956793
0.88114553 0.44077299
0.88100818 0.44075984
0.88087376 0.44147722
0.88078025 0.44287448
0.88064290 0.44135458
0.88055231 0.44142718
0.88041496 0.44430090
0.88032437 0.44348492
0.88023378 0.44509761
0.88009643 0.44398753
0.88000584 0.44664718
0.87986850 0.44733347
0.87973115 0.44586284
0.87959380 0.44845572
0.87950321 0.44922761
0.87936587 0.44942086
0.87922852 0.45049423
0.87913793 0.45233276
0.87900058 0.45204730
0.87890999 0.45485512
0.87877265 0.45341940
0.87867914 0.45337808
0.87854471 0.45685447
0.87845120 0.45640421
0.87831677 0.45728289
0.87817943 0.45721139
0.87808591 0.45753647
0.87795149 0.45795779
0.87785798 0.45971510
0.87772063 0.46036965
0.87758328 0.46264963
0.87744886 0.46031702
0.87735535 0.46282685
0.87722092 0.46282509
0.87708358 0.46327807
0.87699006 0.46383702
0.87685272 0.46674343
0.87671829 0.46764631
0.87658095 0.46711010
0.87649036 0.46838146
0.87635301 0.46802483
0.87621566 0.46983708
0.87612215 0.47079524
0.87598773 0.47076443
0.87585038 0.47258233
0.87575687 0.47173799
0.87562244 0.47250766
0.87548510 0.47416574
0.87539451 0.47497923
0.87525716 0.47463563
0.87511981 0.47681000
0.87502922 0.47653302
0.87489188 0.47834786
0.87475453 0.47908643
0.87461718 0.48072789
0.87447984 0.48206552
0.87434249 0.48133505
0.87420514 0.48242403
0.87406780 0.48469772
0.87393045 0.48289933
0.87379603 0.48562153
0.87365868 0.48711538
0.87352133 0.48778245
0.87343074 0.49014161
0.87329340 0.48855008
0.87319988 0.48943387
0.87310929 0.49048429
0.87297195 0.49095764
0.87288136 0.49048697
0.87274401 0.49120095
0.87260666 0.49307025
0.87251607 0.49432584
0.87237873 0.49538956
0.87219755 0.49545855
0.87206020 0.49788961
0.87192285 0.49801738
0.87183226 0.50111319
0.87169492 0.49907593
0.87160432 0.50059055
0.87151081 0.49974681
0.87137347 0.50163939
0.87128288 0.50188943
0.87114553 0.50273736
0.87105494 0.50374248
0.87091759 0.50329920
0.87082700 0.50450990
0.87068966 0.50672270
0.87055231 0.50723979
0.87041496 0.50710487
0.87028054 0.50970887
0.87018703 0.50870064
0.87004968 0.50886725
0.86995909 0.50975376
0.86986850 0.51212116
0.86977791 0.51414526
0.86968440 0.51230071
0.86954705 0.51256252
0.86941262 0.51445703
0.86927528 0.51604770
0.86913793 0.51597987
0.86900058 0.51721354
0.86886324 0.51898787
0.86877265 0.51798185
0.86863530 0.51929678
0.86849795 0.52014574
0.86840736 0.51969445
0.86827002 0.52090583
0.86817943 0.52310302
0.86804208 0.52219233
0.86795149 0.52324620
0.86781414 0.52446997
0.86772355 0.52399114
0.86758621 0.52500243
0.86749269 0.52633399
0.86735535 0.52668823
0.86726476 0.52565562
0.86712741 0.52927027
0.86699006 0.52822965
0.86685564 0.53042318
0.86671829 0.53115216
0.86658095 0.53155982
0.86649036 0.53406560
0.86635301 0.53402875
0.86621566 0.53656608
0.86607832 0.53582561
0.86594097 0.53747443
0.86585038 0.53805977
0.86571303 0.53748990
0.86557569 0.53964942
0.86543834 0.53961836
0.86530099 0.53988059
0.86516365 0.54282289
0.86502922 0.54294993
0.86493571 0.54354577
0.86479836 0.54461152
0.86466394 0.54481313
0.86457043 0.54737804
0.86447984 0.54521503
0.86434249 0.54872585
0.86420514 0.54855691
0.86411455 0.54908520
0.86397721 0.55010122
0.86383986 0.55130755
0.86370251 0.55163520
0.86361192 0.55341539
0.86347458 0.55443002
0.86338399 0.55586913
0.86324664 0.55614816
0.86310929 0.55571949
0.86301870 0.55380397
0.86288136 0.55567476
0.86274401 0.55676284
0.86265342 0.55985959
0.86251607 0.55871661
0.86242548 0.55972525
0.86228814 0.56089359
0.86215079 0.56187802
