gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000141002	ENST00000566283.1	2.855865101	1	0.091041251	0.315407289	0.137383178	0.096585866	-0.508321372
ENSG00000160752	ENST00000356657.10	2.85537592	1	0.091068949	0.315407289	0.117608796	0.136479076	0.214683816
ENSG00000288485	ENST00000673309.1	2.855359493	1	0.091069879	0.315407289	0.362138762	0.454497169	0.327728703
ENSG00000161203	ENST00000468048.6	2.854910041	1	0.091095335	0.315417879	0.042915822	0.030944773	-0.471813881
ENSG00000182481	ENST00000677419.1	2.853486175	1	0.091176032	0.315619686	0.084062158	0.108269548	0.365099129
ENSG00000010256	ENST00000714199.1	2.85281294	1	0.091214214	0.31567426	0.075505839	0.054117365	-0.480496628
ENSG00000285132	ENST00000646239.2	2.852410753	1	0.091237032	0.315675649	0.063383225	0.078450112	0.307674428
ENSG00000221983	ENST00000430157.6	2.851454902	1	0.091291288	0.31578578	0.161817452	0.171761875	0.086042637
ENSG00000083312	ENST00000680111.1	2.848554621	1	0.091456125	0.316229971	0.118651921	0.096151251	-0.303357924
ENSG00000144579	ENST00000498160.6	2.848405448	1	0.091464612	0.316229971	0.113920422	0.078808711	-0.531599389
ENSG00000088832	ENST00000400137.9	2.847221037	1	0.091532028	0.316345855	0.179808989	0.159960914	-0.168745712
ENSG00000221983	ENST00000596304.5	2.847027326	1	0.091543059	0.316345855	0.0768314	0.069857205	-0.137287118
ENSG00000160201	ENST00000464750.5	2.845407114	1	0.09163538	0.316587199	0.15801964	0.213836458	0.436403969
ENSG00000087191	ENST00000581882.5	2.841984062	1	0.091830761	0.317184393	0.08650102	0.07143409	-0.276104417
ENSG00000128185	ENST00000248879.8	2.838587448	1	0.09202508	0.317699723	0.5	0.632241784	0.338548289
ENSG00000128185	ENST00000405465.3	2.838587448	1	0.09202508	0.317699723	0.5	0.367758216	-0.443170522
ENSG00000148335	ENST00000372481.7	2.836353161	1	0.092153146	0.318063872	0.148521462	0.088335285	-0.749609695
ENSG00000189171	ENST00000392622.3	2.835112536	1	0.09222434	0.3182316	0.157936525	0.14735631	-0.100036012
ENSG00000115233	ENST00000492908.1	2.83416676	1	0.092278655	0.318341013	0.231550802	0.193169111	-0.261464338
ENSG00000274474	ENST00000627231.2	2.83297096	1	0.092347377	0.318500066	0.32525533	0.353190926	0.118875578
ENSG00000114503	ENST00000427641.2	2.830676872	1	0.092479374	0.318877216	0.125139356	0.10738163	-0.220788371
ENSG00000184007	ENST00000457805.6	2.827609868	1	0.092656164	0.319408593	0.151171248	0.108212467	-0.482317045
ENSG00000285377	ENST00000644280.1	2.826833089	1	0.092700998	0.319484936	0.287103701	0.19394106	-0.565953651
ENSG00000085733	ENST00000346329.7	2.826404759	1	0.09272573	0.319491981	0.326316025	0.266794326	-0.290541854
ENSG00000116459	ENST00000468818.1	2.824014357	1	0.092863886	0.319811503	0.206013148	0.172523218	-0.255945884
ENSG00000181019	ENST00000379046.6	2.824058642	1	0.092861324	0.319811503	0.218129635	0.195804973	-0.155768384
ENSG00000141552	ENST00000579133.5	2.821742551	1	0.092995395	0.320186099	0.017897851	0.013995289	-0.354845055
ENSG00000172965	ENST00000604981.5	2.81292727	1	0.093507608	0.32187097	0.069860722	0.078738942	0.17259578
ENSG00000108861	ENST00000226004.8	2.811434026	1	0.093594677	0.322009968	0.548001757	0.679282532	0.309831237
ENSG00000108861	ENST00000590753.1	2.811434026	1	0.093594677	0.322009968	0.451998243	0.320717468	-0.495014232
ENSG00000125037	ENST00000245046.7	2.810957785	1	0.093622464	0.322009968	0.182381168	0.223452333	0.293010336
ENSG00000241343	ENST00000372849.8	2.810666647	1	0.093639456	0.322009968	0.04959872	0.044226806	-0.165381816
ENSG00000170540	ENST00000569976.5	2.81008012	1	0.093673697	0.322049074	0.146388143	0.197137007	0.429399919
ENSG00000185624	ENST00000680914.1	2.809325858	1	0.093717751	0.322121887	0.027432222	0.036431468	0.40931365
ENSG00000153187	ENST00000639880.1	2.805292445	1	0.093953711	0.322854114	0.02350483	0.015872839	-0.566397023
ENSG00000168036	ENST00000644906.2	2.804881492	1	0.093977789	0.322858067	0.105112478	0.077836761	-0.433410367
ENSG00000143549	ENST00000368545.7	2.803466601	1	0.094060738	0.323064221	0.173466046	0.153128253	-0.179912807
ENSG00000244038	ENST00000464364.1	2.801255003	1	0.094190554	0.323431207	0.022169059	0.039774809	0.843307476
ENSG00000072506	ENST00000168216.11	2.800119882	1	0.094257259	0.323581356	0.227527059	0.294914693	0.37425957
ENSG00000110330	ENST00000532672.5	2.799174694	1	0.094312842	0.323693258	0.19905505	0.182081161	-0.128585808
ENSG00000143252	ENST00000367975.7	2.798711073	1	0.094340119	0.32370798	0.106732437	0.143031961	0.422338873
ENSG00000099624	ENST00000590265.5	2.796132983	1	0.094491955	0.324149992	0.130407243	0.171893033	0.398487072
ENSG00000173171	ENST00000316721.8	2.792319196	1	0.094717056	0.324843056	0.186530669	0.128020069	-0.543042865
ENSG00000140374	ENST00000690610.1	2.783700342	1	0.095227919	0.326515598	0.084840969	0.124114357	0.548837008
ENSG00000142910	ENST00000537531.2	2.782040374	1	0.095326654	0.326774573	0.161966357	0.14496982	-0.15994159
ENSG00000142208	ENST00000553506.5	2.779717761	1	0.09546499	0.32716914	0.07487618	0.104315865	0.478379854
ENSG00000160211	ENST00000696427.1	2.778653945	1	0.095528425	0.327306881	0.096422118	0.133669173	0.471230767
ENSG00000122705	ENST00000345519.10	2.775400701	1	0.095722698	0.327892736	0.162204029	0.194153736	0.259389815
ENSG00000144381	ENST00000679291.1	2.773247407	1	0.095851523	0.328254168	0.035832921	0.046820045	0.385840664
ENSG00000090971	ENST00000205194.5	2.77250013	1	0.095896274	0.328327578	0.364071896	0.479256608	0.396574942
ENSG00000183311	ENST00000400531.5	2.769348066	1	0.096085288	0.328894755	0.221117483	0.187523357	-0.237742796
ENSG00000137509	ENST00000679809.1	2.763545013	1	0.096434331	0.330009296	0.033127522	0.051792093	0.644701562
ENSG00000138430	ENST00000428402.6	2.761327563	1	0.096568072	0.330386683	0.3253367	0.273872435	-0.248429512
ENSG00000104695	ENST00000221138.9	2.758653662	1	0.096729611	0.330778625	0.529394825	0.628735529	0.248109198
ENSG00000104695	ENST00000518564.1	2.758653662	1	0.096729611	0.330778625	0.470605175	0.371264471	-0.342069925
ENSG00000167085	ENST00000508009.6	2.756052825	1	0.096887018	0.331236463	0.120707719	0.143546154	0.24999674
ENSG00000111341	ENST00000228938.5	2.755148717	1	0.096941802	0.331343314	0.457129569	0.484656203	0.084358572
ENSG00000197111	ENST00000359462.9	2.752159056	1	0.097123198	0.331882766	0.08940052	0.107520221	0.266252871
ENSG00000120885	ENST00000519472.5	2.746056973	1	0.097494589	0.333071036	0.056637456	0.036292137	-0.642099454
ENSG00000166803	ENST00000558008.3	2.742497636	1	0.097711936	0.333702544	0.184436844	0.152788373	-0.271592118
ENSG00000285132	ENST00000710732.1	2.742253961	1	0.097726835	0.333702544	0.067882852	0.052171512	-0.37978494
ENSG00000131508	ENST00000698322.1	2.740159799	1	0.097854981	0.334059113	0.171882414	0.138891099	-0.307467795
ENSG00000157456	ENST00000288207.7	2.739494449	1	0.097895733	0.334117236	0.354591237	0.462776807	0.384159677
ENSG00000125148	ENST00000561491.1	2.738718187	1	0.097943302	0.334117632	0.120232618	0.107380544	-0.163095714
ENSG00000173465	ENST00000526877.1	2.738818443	1	0.097937157	0.334117632	0.117424223	0.090626733	-0.373721457
ENSG00000106028	ENST00000469123.5	2.738265458	1	0.097971057	0.33413137	0.166102954	0.148359928	-0.162976261
ENSG00000106991	ENST00000714080.1	2.733835699	1	0.098243078	0.334977972	0.047136742	0.055461091	0.234623962
ENSG00000215021	ENST00000676893.1	2.732139383	1	0.098347463	0.335171581	0.082887449	0.06458234	-0.360013954
ENSG00000215021	ENST00000678000.1	2.73213959	1	0.09834745	0.335171581	0.082887449	0.06458234	-0.360013954
ENSG00000122786	ENST00000430085.5	2.73117578	1	0.098406813	0.335292703	0.048021019	0.074059748	0.625023624
ENSG00000165119	ENST00000704007.1	2.730570199	1	0.098444132	0.33533872	0.064920726	0.052317848	-0.311375938
ENSG00000142910	ENST00000481165.5	2.729224907	1	0.098527091	0.335540145	0.161966357	0.145284706	-0.156811334
ENSG00000284967	ENST00000710779.1	2.723312807	1	0.098892573	0.336703389	0.063786574	0.048709267	-0.38905652
ENSG00000113712	ENST00000515768.6	2.721817476	1	0.098985248	0.336790743	0.063848721	0.105051417	0.718366001
ENSG00000173915	ENST00000369811.5	2.721741178	1	0.098989979	0.336790743	0.028100894	0.023314924	-0.269362317
