transcript_id,q_value
ENST00000582888.8,9.52E-13
ENST00000488122.2,1.05E-12
ENST00000344546.8,1.18E-12
ENST00000522407.5,1.19E-12
ENST00000684993.1,1.35E-12
ENST00000370009.5,1.42E-12
ENST00000586035.1,1.42E-12
ENST00000695801.1,1.48E-12
ENST00000512690.5,1.56E-12
ENST00000361564.9,1.57E-12
ENST00000451378.2,2.14E-12
ENST00000630477.1,2.19E-12
ENST00000340385.6,2.43E-12
ENST00000470017.1,2.43E-12
ENST00000525981.1,2.58E-12
ENST00000458578.6,2.85E-12
ENST00000344548.8,2.89E-12
ENST00000395458.6,2.94E-12
ENST00000617291.3,2.95E-12
ENST00000629607.1,2.95E-12
ENST00000439602.7,3.16E-12
ENST00000679247.1,3.31E-12
ENST00000586925.1,3.34E-12
ENST00000326912.8,3.53E-12
ENST00000626715.2,3.53E-12
ENST00000556195.2,3.88E-12
ENST00000329970.8,4.06E-12
ENST00000480191.1,4.06E-12
ENST00000377619.9,4.06E-12
ENST00000215570.8,4.09E-12
ENST00000591871.1,4.09E-12
ENST00000484610.5,4.16E-12
ENST00000482732.1,4.27E-12
ENST00000389912.7,4.60E-12
ENST00000531008.5,4.72E-12
ENST00000458412.2,4.86E-12
ENST00000528619.5,4.92E-12
ENST00000647131.1,4.92E-12
ENST00000652086.1,5.39E-12
ENST00000458500.5,5.77E-12
ENST00000549566.5,6.46E-12
ENST00000548580.5,6.53E-12
ENST00000531908.5,6.82E-12
ENST00000540056.5,6.88E-12
ENST00000598956.5,8.28E-12
ENST00000709900.1,8.44E-12
ENST00000513345.6,8.50E-12
ENST00000409729.1,8.56E-12
ENST00000438261.5,9.26E-12
ENST00000483290.5,9.57E-12
ENST00000413456.6,9.98E-12
ENST00000460675.5,1.00E-11
ENST00000628198.1,1.00E-11
ENST00000630201.4,1.00E-11
ENST00000632659.1,1.01E-11
ENST00000685938.1,1.04E-11
ENST00000295491.9,1.06E-11
ENST00000618690.4,1.11E-11
ENST00000489200.5,1.13E-11
ENST00000311528.10,1.14E-11
ENST00000451311.7,1.23E-11
ENST00000548342.5,1.27E-11
ENST00000489324.1,1.27E-11
ENST00000488338.2,1.28E-11
ENST00000482975.6,1.36E-11
ENST00000634474.1,1.36E-11
ENST00000565985.1,1.44E-11
ENST00000520490.1,1.47E-11
ENST00000423431.5,1.53E-11
ENST00000522717.1,1.54E-11
ENST00000572179.5,1.74E-11
ENST00000366813.1,1.79E-11
ENST00000473344.1,1.79E-11
ENST00000519287.1,1.90E-11
ENST00000631575.1,1.90E-11
ENST00000422465.6,2.01E-11
ENST00000538631.1,2.04E-11
ENST00000532872.5,2.08E-11
ENST00000274606.8,2.10E-11
ENST00000512805.6,2.13E-11
ENST00000645195.1,2.13E-11
ENST00000602153.5,2.17E-11
ENST00000530245.5,2.27E-11
ENST00000380636.1,2.28E-11
ENST00000448750.7,2.41E-11
ENST00000496588.1,2.52E-11
ENST00000632449.1,2.53E-11
ENST00000443003.2,2.67E-11
ENST00000558558.6,2.67E-11
ENST00000486733.2,2.71E-11
ENST00000367088.1,2.76E-11
ENST00000367089.8,2.76E-11
ENST00000570149.1,2.78E-11
ENST00000471700.6,2.81E-11
ENST00000471245.1,2.87E-11
ENST00000449935.6,2.90E-11
ENST00000470753.1,3.01E-11
ENST00000613356.1,3.26E-11
ENST00000513060.5,3.37E-11
ENST00000679383.1,3.50E-11
ENST00000535624.1,3.51E-11
ENST00000412779.2,3.71E-11
ENST00000590331.1,4.33E-11
ENST00000374515.9,4.33E-11
ENST00000684522.1,4.38E-11
ENST00000268220.12,4.58E-11
ENST00000481898.6,4.77E-11
ENST00000614575.4,5.42E-11
ENST00000708922.1,5.43E-11
ENST00000676940.1,5.54E-11
ENST00000312726.9,5.65E-11
ENST00000561840.1,5.98E-11
ENST00000533833.5,6.23E-11
ENST00000619601.1,7.01E-11
ENST00000321805.11,7.06E-11
ENST00000347067.9,7.23E-11
ENST00000476781.6,7.49E-11
ENST00000696365.1,8.39E-11
ENST00000672734.1,8.46E-11
ENST00000593254.1,8.84E-11
ENST00000562125.1,9.26E-11
ENST00000625669.2,9.37E-11
ENST00000464182.5,9.56E-11
ENST00000631616.1,9.79E-11
ENST00000601937.5,1.02E-10
ENST00000512419.5,1.04E-10
ENST00000559519.5,1.10E-10
ENST00000676862.1,1.12E-10
ENST00000695598.1,1.13E-10
ENST00000513339.5,1.21E-10
ENST00000644549.1,1.23E-10
ENST00000586277.5,1.27E-10
ENST00000674650.1,1.35E-10
ENST00000519882.5,1.37E-10
ENST00000393103.2,1.42E-10
ENST00000527146.1,1.43E-10
ENST00000475634.5,1.46E-10
ENST00000630979.3,1.50E-10
ENST00000605916.1,1.54E-10
ENST00000607132.1,1.54E-10
ENST00000258424.3,1.58E-10
ENST00000578649.1,1.58E-10
ENST00000491989.1,1.59E-10
ENST00000624056.1,1.63E-10
ENST00000530705.6,1.66E-10
ENST00000246747.9,1.73E-10
ENST00000651476.1,1.76E-10
ENST00000568319.5,1.86E-10
ENST00000333449.9,1.88E-10
ENST00000392509.6,2.12E-10
ENST00000490223.1,2.12E-10
ENST00000411827.2,2.18E-10
ENST00000521260.2,2.18E-10
ENST00000273308.9,2.19E-10
ENST00000629090.2,2.25E-10
ENST00000368003.6,2.27E-10
ENST00000483191.5,2.27E-10
ENST00000593012.1,2.39E-10
ENST00000708077.1,2.39E-10
ENST00000708079.1,2.48E-10
ENST00000525297.5,2.56E-10
ENST00000007516.8,2.65E-10
ENST00000379847.8,2.67E-10
ENST00000593087.1,2.69E-10
ENST00000300035.9,2.78E-10
ENST00000460901.1,2.85E-10
ENST00000323345.11,2.94E-10
ENST00000474215.5,3.07E-10
ENST00000695858.1,3.13E-10
ENST00000266735.10,3.21E-10
ENST00000549580.1,3.21E-10
ENST00000466227.6,3.23E-10
ENST00000538217.1,3.28E-10
ENST00000356455.9,3.28E-10
ENST00000482755.6,3.46E-10
ENST00000463740.5,3.49E-10
ENST00000643223.2,3.52E-10
ENST00000334482.9,3.63E-10
ENST00000627305.2,3.67E-10
ENST00000356769.7,3.72E-10
ENST00000449470.6,3.73E-10
ENST00000553677.1,3.78E-10
ENST00000557290.1,3.78E-10
ENST00000238633.6,3.78E-10
ENST00000520498.1,3.82E-10
ENST00000356033.8,3.82E-10
ENST00000518364.1,3.95E-10
ENST00000544599.5,3.95E-10
ENST00000590618.1,4.16E-10
ENST00000367679.7,4.21E-10
ENST00000588599.5,4.32E-10
ENST00000532400.1,4.41E-10
ENST00000581913.5,4.47E-10
ENST00000567057.5,4.51E-10
ENST00000484998.5,4.60E-10
ENST00000591716.6,4.61E-10
ENST00000477206.5,4.86E-10
