Gene name	fold change	p-value
MRPL43	1.48216157819708	1.41882705939785E-12
TRMT112	1.71989708831624	1.4210360833031E-12
H3-3A	1.2186428880041	1.45836877402017E-12
RPS14	1.65200173568177	1.49276273197214E-12
SWI5	1.6119291168834	1.5079329939199E-12
WWTR1	1.43595329518281	1.6172248808013E-12
ZNF24TR	1.86138052837204	1.6172248808013E-12
PNKD	2.06934143495425	1.76629112922867E-12
RNA5-8SN1	-0.971398182737826	1.81349748168622E-12
SIVA1	1.32190710659485	1.82227845887124E-12
RPL18A	1.72487325143833	1.8277640812913E-12
SERF2	1.72865984575933	1.85052542664418E-12
0	1.89114705394103	1.86710154449449E-12
SNORA11D	-1.56248801447043	1.87026090247983E-12
SNORA11E	-1.56248801447043	1.87026090247983E-12
KRT10	2.23052162398987	1.8899395714783E-12
RPS16	1.66768746560013	1.94864587991722E-12
HSPE1	1.66012627388926	1.96191061514657E-12
ELOC	1.57761328716269	2.1135511132859E-12
RPS27L	1.49840342197158	2.231544047566E-12
NDUFS6	1.20317892088961	2.41112433466448E-12
BACC1	1.94974373907629	2.44702666129437E-12
RPS9	1.43905028832535	2.53382317148635E-12
PSMB6	1.65496901842005	2.66243336008378E-12
ENO1	0.775610119316337	2.66911124119664E-12
PHPT1	1.82628111395058	2.73573755718817E-12
PFDN5	1.74979415773143	2.93295064551852E-12
NDUFA4	1.97540475761123	3.07049722709505E-12
ZNHIT1	1.98079523081071	3.21408721626972E-12
CDKN3	2.01805213384891	3.24440238939099E-12
5_8S_rRNA	-1.00262534402695	3.30164132115156E-12
LAMTOR4	1.48970471642208	3.35515449473027E-12
RPL15	2.21447177211958	3.4420363326308E-12
RPS19	1.89157970585679	3.46849061490914E-12
ANXA3	2.55562578340476	3.60666246336091E-12
CD99	1.25369439668903	3.75019180986478E-12
RPS20	1.59991090824648	3.75019180986478E-12
NME1	1.96533305987187	3.75497922564602E-12
CLIC1	1.62203119592811	3.84070190593944E-12
PSME2	1.66550274239725	3.97190636482697E-12
RPL27	1.44354495756162	4.00972193155762E-12
COX7B	1.60730704595263	4.36703402399181E-12
POLR1H	5.59100893226805	4.36703402399181E-12
HYPK	1.49792285071021	4.36703402399181E-12
RNA5-8SN1	-1.00477695383308	4.36703402399181E-12
BEX3	1.48651903784772	4.46790224678068E-12
SEC61B	1.99634408383324	4.52298993892232E-12
CMC2	2.12072744948477	4.56378651298606E-12
RNA5-8SN3	-0.989606524288009	4.73947890075662E-12
CYCS	1.26954803702439	4.92522693673973E-12
NDUFAF3	1.70355831946688	5.00018417325743E-12
0	-3.01250287518812	5.23751599973186E-12
FAU	1.5397039306116	5.3056517808332E-12
MRPL42	1.85636604484311	5.35070883088131E-12
SPHK1	-2.39269883940314	5.40073311197232E-12
CLIC1	1.51671376854798	5.94025583265315E-12
NNAT	-8.92067849342403	6.28297959622992E-12
ANAPC10	3.22463783453822	6.71794652721624E-12
