gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000154277	ENST00000508768.5	9.465231942	1	0.00209403	0.128112149	0.039706452	0.028893676	-0.4586197
ENSG00000162910	ENST00000430433.5	9.476224774	1	0.002081519	0.128112149	0.129987667	0.0780868	-0.73522415
ENSG00000196262	ENST00000678789.1	9.48437422	1	0.002072293	0.128112149	0.007386351	0.006052883	-0.287239508
ENSG00000285132	ENST00000710747.1	9.488476232	1	0.002067665	0.128112149	0.06150807	0.086039254	0.484219299
ENSG00000165629	ENST00000473809.5	9.43797988	1	0.002125375	0.12943337	0.082908018	0.054979078	-0.592628907
ENSG00000179218	ENST00000586967.2	9.359784891	1	0.002217982	0.134456282	0.160599081	0.134674487	-0.253987069
ENSG00000170989	ENST00000561748.2	9.322076442	1	0.002264093	0.136627705	0.173544666	0.263044659	0.600000734
ENSG00000232119	ENST00000371317.10	9.29806552	1	0.00229396	0.137803654	0.760159311	0.823315161	0.115142989
ENSG00000148834	ENST00000369713.10	9.289583189	1	0.002304606	0.137819587	0.476036905	0.541564157	0.186058835
ENSG00000115268	ENST00000592700.2	9.198837789	1	0.002421688	0.144171902	0.002925928	0.004026785	0.460733999
ENSG00000282986	ENST00000635567.2	9.148235056	1	0.002489581	0.147552122	0.777759915	0.811098881	0.060552923
ENSG00000167113	ENST00000608951.5	9.135759792	1	0.002506613	0.147901334	0.366062472	0.259893284	-0.494170525
ENSG00000181163	ENST00000676589.1	9.10122473	1	0.002554384	0.149650549	0.05841701	0.072017934	0.301967683
ENSG00000275214	ENST00000618321.1	9.098062925	1	0.002558803	0.149650549	0.014387739	0.010731632	-0.422970425
ENSG00000223367	ENST00000487970.1	9.086462117	1	0.002575085	0.149942247	0.004507792	0.002896589	-0.638066003
ENSG00000166741	ENST00000542647.5	9.062345238	1	0.002609271	0.151269349	0.043340894	0.026339062	-0.718524929
ENSG00000231500	ENST00000490191.5	9.052163669	1	0.002623841	0.15145268	0.010744382	0.008222827	-0.385876089
ENSG00000142541	ENST00000488946.1	9.000315436	1	0.00269933	0.155135526	0.003195947	0.002156105	-0.56781604
ENSG00000128463	ENST00000558102.1	8.978578745	1	0.00273163	0.156315194	0.079064935	0.042705672	-0.888610292
ENSG00000149925	ENST00000566130.1	8.951108787	1	0.002773012	0.157400193	0.076621157	0.057666826	-0.410001181
ENSG00000178982	ENST00000248342.9	8.950258731	1	0.002774303	0.157400193	0.778486977	0.810297815	0.057779345
ENSG00000145912	ENST00000274606.8	8.85752818	1	0.002918826	0.164280013	0.818756533	0.853084981	0.059254953
ENSG00000167770	ENST00000543988.1	8.851264438	1	0.002928859	0.164280013	0.029614931	0.019157564	-0.628410609
