gene_id	gene_name	logFC	logCPM	F	PValue	FDR
MSTRG.23812	MSTRG.23812	-0.438511679164993	4.5110081029803	2.02231267874048	0.162392688467533	0.364283690587335
MSTRG.25539		1.17352856253363	0.715744499343911	2.0209462945973	0.162531390747894	0.364283690587335
MSTRG.19684		-0.70374434877753	2.21936635326352	2.02072634187675	0.162553731282014	0.364283690587335
MSTRG.27172		-1.13214827770822	-0.158993049045449	2.02033351275926	0.162593639818366	0.364283690587335
ENSG00000141858.12	SAMD1	-0.622666640981399	1.84804118365426	2.02033059665051	0.162593936116613	0.364283690587335
MSTRG.4188	MSTRG.4188	-0.767079144025951	1.9774937030618	2.02015540564542	0.162611737986806	0.364283690587335
MSTRG.10275	MSTRG.10275	-0.581858329521396	2.36447590442506	2.02003829122664	0.162623639738996	0.364283690587335
MSTRG.6948		-0.439176058048024	3.01468672382414	2.01980074487893	0.162647783535983	0.364283690587335
MSTRG.23160		-0.361651191416277	4.00338009940275	2.01919651263047	0.162709215676088	0.364283690587335
MSTRG.15252		-1.48518214971331	-1.12213682091543	2.01911313499111	0.162717694804892	0.364283690587335
MSTRG.584		-0.812043357678967	1.07158423074944	2.01872747441245	0.162756921512276	0.364283690587335
ENSG00000036828.17	CASR	-1.49381069348732	-0.899267259340269	2.01853133333011	0.162776875889091	0.364283690587335
MSTRG.17588		-0.797437331735384	1.41388371146254	2.0178849307501	0.162842657933884	0.364283690587335
MSTRG.19349	MSTRG.19349	-0.941645129863246	0.554648870602732	2.01770407466532	0.162861068606551	0.364283690587335
MSTRG.14586		-0.465482245737177	3.85429218018882	2.01736279938691	0.162895816208441	0.364283690587335
MSTRG.11296		-1.04092537214725	0.426387588054526	2.0173177278323	0.162900405908588	0.364283690587335
MSTRG.24718		0.917611124654327	0.954869735831154	2.0164044879045	0.162993435240136	0.364283690587335
MSTRG.670		-0.6501954692083	1.81962104008177	2.01551178200884	0.163084433314078	0.364283690587335
ENSG00000153989.8	NUS1	-0.780216405067622	1.42970168717819	2.01541976529331	0.163093816449874	0.364283690587335
ENSG00000289384.2	ENSG00000289384	-1.42913671376422	-1.2213098413031	2.01508128721845	0.163128337235534	0.364283690587335
MSTRG.20487		0.714077748174194	1.50779818653016	2.01470248699156	0.163166980613932	0.364283690587335
