gene_id	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.575	ENST00000695855.1	5	3	0	7	3	9	10	3	10	6	4	3	0	7	6
MSTRG.575	ENST00000695856.1	59	49	31	71	49	57	51	86	101	126	86	84	18	89	62
MSTRG.575	ENST00000695857.1	5	17	8	95	29	147	25	108	142	129	149	148	43	155	153
MSTRG.575	ENST00000695858.1	63	52	37	84	51	86	47	75	104	83	80	81	10	65	58
MSTRG.575	ENST00000695859.1	53	58	25	74	57	96	50	68	95	88	82	63	15	66	56
MSTRG.575	ENST00000695860.1	4	3	2	8	4	8	5	7	6	9	3	7	0	4	6
MSTRG.575	ENST00000695861.1	6	2	2	4	4	8	7	2	2	7	3	3	0	6	3
MSTRG.575	ENST00000695862.1	49	58	30	60	54	31	38	56	63	57	44	52	11	56	35
ENSG00000119844.17	ENST00000695864.1	3	0	3	3	0	0	2	2	6	2	0	3	0	3	1
MSTRG.9781	ENST00000695870.1	23	11	8	16	23	10	14	15	31	19	11	7	0	7	8
MSTRG.9781	ENST00000695871.1	21	10	8	15	21	8	14	14	29	17	11	6	0	7	8
MSTRG.9781	ENST00000695872.1	23	20	15	37	39	76	18	59	84	83	61	34	4	31	47
MSTRG.17300	ENST00000695889.1	1	0	1	1	3	2	0	0	2	1	0	0	0	0	0
ENSG00000147408.16	ENST00000695892.1	4	0	0	0	0	2	0	3	0	0	0	0	0	3	0
ENSG00000147408.16	ENST00000695893.1	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0
ENSG00000147408.16	ENST00000695895.1	4	0	0	0	1	2	0	1	1	0	0	0	0	5	0
ENSG00000147408.16	ENST00000695896.1	6	0	0	0	0	1	0	2	3	0	0	1	0	1	0
ENSG00000147408.16	ENST00000695897.1	5	0	0	0	1	1	0	2	2	0	0	3	0	0	0
ENSG00000147408.16	ENST00000695898.1	3	0	0	0	1	2	0	2	2	0	0	3	0	5	0
ENSG00000196935.10	ENST00000695902.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MSTRG.16220	ENST00000695911.1	0	3	0	0	6	1	0	3	2	3	0	2	0	5	0
MSTRG.16220	ENST00000695912.1	1	3	4	2	7	3	0	4	3	3	0	5	0	5	2
MSTRG.16220	ENST00000695913.1	2	3	3	3	6	7	0	3	7	6	0	8	0	5	3
MSTRG.16220	ENST00000695914.1	0	0	1	0	0	0	0	1	0	3	1	3	0	0	2
MSTRG.16220	ENST00000695918.1	0	2	0	2	7	2	1	3	2	1	0	2	0	6	1
MSTRG.5024	ENST00000695926.1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
ENSG00000000971.17	ENST00000695968.1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
ENSG00000000971.17	ENST00000695970.1	1	0	2	3	1	2	0	2	4	1	2	0	0	1	2
ENSG00000000971.17	ENST00000695971.1	1	2	1	2	2	2	0	0	5	3	3	0	0	2	0
ENSG00000000971.17	ENST00000695972.1	3	2	1	3	1	1	0	2	5	2	3	2	0	2	1
ENSG00000000971.17	ENST00000695973.1	3	0	1	0	0	2	0	0	2	5	4	1	0	3	1
ENSG00000000971.17	ENST00000695974.1	2	2	3	1	2	2	0	3	3	6	2	0	0	2	0
ENSG00000000971.17	ENST00000695975.1	3	1	1	1	2	3	0	2	2	3	3	1	0	0	2
ENSG00000000971.17	ENST00000695978.1	0	0	0	1	1	0	0	0	0	0	4	0	0	3	0
ENSG00000000971.17	ENST00000695979.1	0	0	0	4	1	1	0	0	2	3	3	0	0	1	0
ENSG00000000971.17	ENST00000695984.1	2	1	0	0	1	0	0	3	2	2	7	0	0	1	1
ENSG00000000971.17	ENST00000695986.1	1	0	0	0	1	0	0	1	2	1	3	1	0	1	0
ENSG00000000971.17	ENST00000695987.1	0	0	0	3	0	1	0	1	2	0	4	0	0	3	0
ENSG00000000971.17	ENST00000695990.1	2	0	4	1	2	1	0	1	1	1	4	0	0	0	1
MSTRG.17300	ENST00000695991.1	0	0	1	3	2	1	2	0	2	1	1	1	0	0	0
MSTRG.17300	ENST00000695992.1	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0
MSTRG.17300	ENST00000695994.1	1	0	0	0	2	2	0	0	3	2	0	0	0	1	0
MSTRG.17300	ENST00000695996.1	1	0	0	1	3	2	0	0	5	1	2	2	0	2	0
MSTRG.6416	ENST00000695999.1	23	52	22	98	51	171	39	121	148	144	163	153	30	190	110
MSTRG.6416	ENST00000696000.1	21	27	13	29	25	22	25	29	48	34	40	31	7	40	16
MSTRG.6416	ENST00000696001.1	18	24	11	27	35	26	26	21	46	31	39	29	7	33	21
MSTRG.6416	ENST00000696002.1	21	27	11	19	24	17	21	17	34	24	34	20	3	31	12
MSTRG.17300	ENST00000696003.1	3	0	0	1	0	0	1	0	1	0	0	1	0	0	0
MSTRG.15086	ENST00000696011.1	6	2	1	4	0	8	3	5	5	11	6	4	0	11	9
MSTRG.15086	ENST00000696012.1	7	2	1	4	0	5	2	0	0	4	2	3	0	2	2
MSTRG.15086	ENST00000696013.1	7	2	2	6	0	3	2	2	3	9	7	6	0	6	7
MSTRG.15086	ENST00000696014.1	9	0	0	6	0	6	2	4	6	12	10	8	0	12	11
MSTRG.15086	ENST00000696015.1	3	2	2	5	0	6	1	5	5	11	9	5	0	8	9
ENSG00000000971.17	ENST00000696018.1	4	0	15	6	6	2	1	0	2	4	0	0	0	0	1
ENSG00000000971.17	ENST00000696023.1	0	0	0	4	1	1	0	0	2	2	3	0	0	2	0
ENSG00000000971.17	ENST00000696024.1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
ENSG00000000971.17	ENST00000696026.1	4	0	2	2	3	2	0	0	7	1	4	0	0	2	1
ENSG00000000971.17	ENST00000696027.1	2	2	2	3	2	0	0	1	5	0	3	0	0	1	1
ENSG00000000971.17	ENST00000696028.1	4	1	0	1	0	1	0	1	3	3	3	1	0	2	0
