gene_id	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.17858		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MSTRG.17859		0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
MSTRG.17860		0	1	0	27	2	4	8	1	1	0	0	9	1	1	1
MSTRG.17862		64	24	28	25	39	24	20	16	37	33	12	24	0	44	20
MSTRG.17863		8	4	0	0	5	1	1	4	2	1	5	1	0	2	2
MSTRG.17864		0	0	0	0	1	0	1	4	2	0	2	2	0	1	0
MSTRG.17865		1	0	1	0	0	1	0	0	2	0	0	2	0	0	4
MSTRG.17866		27	58	20	30	60	13	11	5	25	42	36	54	1	27	11
MSTRG.17869	MSTRG.17869	36	36	19	45	25	44	32	30	62	58	37	28	1	18	15
MSTRG.17870	MSTRG.17870	0	1	2	1	1	1	2	12	12	5	11	7	1	16	11
MSTRG.17871	MSTRG.17871	0	2	2	0	0	2	0	0	9	0	3	6	0	0	3
MSTRG.17872	MSTRG.17872	0	0	0	1	3	0	0	0	0	0	0	1	0	3	0
MSTRG.17873		0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
MSTRG.17874		0	3	1	1	1	1	0	1	13	6	3	1	0	4	3
MSTRG.17876		2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.17877	MSTRG.17877	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
MSTRG.17879		0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.1788		11	11	2	31	50	34	9	55	93	55	27	27	0	79	67
MSTRG.17883	MSTRG.17883	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
MSTRG.17885		93	57	30	72	110	62	67	90	99	172	66	69	22	60	70
MSTRG.17887	MSTRG.17887	0	14	1	10	15	4	1	51	32	35	2	26	1	36	5
MSTRG.17888		45	65	45	74	45	34	22	15	40	70	10	15	1	25	20
MSTRG.1789		0	0	0	0	0	1	0	0	0	0	0	12	0	0	0
MSTRG.17890	MSTRG.17890	25	56	34	55	36	63	46	84	106	99	46	114	17	105	40
MSTRG.17891	MSTRG.17891	0	0	12	1	1	54	0	16	0	4	10	9	0	23	0
MSTRG.17892	MSTRG.17892	10	0	24	1	17	32	2	14	69	33	22	18	0	39	16
MSTRG.17894		16	10	2	21	0	0	13	11	31	0	33	11	0	0	0
MSTRG.17895		0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
MSTRG.17897	MSTRG.17897	202	68	120	195	87	171	121	193	296	221	255	190	27	180	112
MSTRG.17899	MSTRG.17899	0	0	1	1	2	2	1	5	5	3	2	1	0	0	0
MSTRG.17900		3	2	6	13	4	6	10	15	10	34	24	38	6	17	17
MSTRG.17903		3	0	3	0	6	2	0	7	0	3	3	1	0	1	1
MSTRG.17904		12	6	6	1	10	1	6	12	8	10	16	9	1	18	14
MSTRG.17906		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MSTRG.17907		39	10	1	28	21	13	1	12	24	27	17	40	1	33	6
MSTRG.17908		0	0	1	0	0	0	0	12	6	1	1	4	0	9	0
MSTRG.17909	MSTRG.17909	15	22	0	9	0	0	7	8	1	29	17	1	0	21	8
MSTRG.17910	MSTRG.17910	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
MSTRG.17913		83	38	42	73	83	69	35	88	89	146	59	61	0	60	46
MSTRG.17915		0	0	0	0	0	0	0	8	0	1	1	0	0	0	0
MSTRG.17919		2	0	6	1	4	0	1	0	1	0	0	2	0	0	0
MSTRG.1792		0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
