gene_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.2708	1.28221183250723	3.28893544559731	2.73857957545444	0	2.00989168191253	0.47879999315316	4.37325238106772	0	0.10802557656761	0.802817890796696	0.113325067402917	0.118249826882253	0.642018300089626	0	0.152213442212623
MSTRG.27080	2.13701972084539	3.70005237629697	0	0.786774633126989	0.7537093807172	5.14709992639647	3.02763626381611	1.63701097273573	1.40433249537894	0.903170127146283	3.51307708949043	0.591249134411267	0	0.701456082536128	1.52213442212623
MSTRG.27081	0	0	0.547715915090888	0	0.251236460239067	0	0	0.297638358679224	0	0	0	0	0	0.701456082536128	0
MSTRG.27082	0	0	1.09543183018178	0	0	0	0	0	0	0.401408945398348	0	0	0	0	0
MSTRG.27084	0	0	0	2.51767882600636	0	1.43639997945948	0.336404029312901	0.74409589669806	0.432102306270442	0.802817890796696	0	0.118249826882253	0	0.116909347089355	0
MSTRG.27085	0	0	0.547715915090888	0	0	0	0	0	0	0.100352236349587	0	0	0	0	0
MSTRG.27087	6.83846310670524	7.40010475259394	12.0497501319995	7.39568155139369	9.7982219493236	8.49869987846859	15.4745853483935	2.97638358679224	4.21299748613681	6.92430430812151	4.53300269611668	3.5474948064676	1.28403660017925	5.26092061902096	5.93632424629231
MSTRG.27088	3.41923155335262	4.11116930699663	2.73857957545444	6.7662618448921	5.02472920478133	3.11219995549554	5.71886849831932	3.57166030415069	3.67286960329876	3.51232827223555	3.85305229169918	3.19274532582084	3.21009150044813	4.20873649521677	6.5451780151428
MSTRG.27089	0	0	0	0	0	0	0	0.148819179339612	0	0	0	0	0	0	0
MSTRG.2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152213442212623
MSTRG.27090	0	0	0	0	0	0	0	0	0.216051153135221	0.100352236349587	0.226650134805834	0.591249134411267	0	0	0.152213442212623
MSTRG.27091	5.12884733002893	0	0	1.73090419287937	0	0.35909999486487	0	0.892915076037672	0.756179035973273	0.401408945398348	0.113325067402917	0	0.642018300089626	0.467637388357419	1.21770753770099
MSTRG.27092	0	0.822233861399327	0	0	0	0	0.672808058625803	0.148819179339612	0	0	0.113325067402917	0.118249826882253	0	0	0
MSTRG.27095	0.854807888338155	0.822233861399327	0.547715915090888	0.472064779876193	1.00494584095627	1.31669998117119	0.672808058625803	1.04173425537728	1.0802557656761	2.91021485413802	1.359900808835	0.945998615058028	0.642018300089626	1.16909347089355	0.91328065327574
MSTRG.27097	0	0.411116930699663	0	0	0	0	0	0	0	0	0	0	0	0	0
MSTRG.27098	1.70961577667631	0	0	0	0	0	0.336404029312901	0.148819179339612	0.10802557656761	0	0	0	0	0	0.152213442212623
MSTRG.271	12.8221183250723	11.1001571288909	19.1700570281811	5.66477735851432	12.8130594721924	2.51369996405409	9.08290879144834	4.01811784216952	7.34573920659751	7.52641772621903	3.05977681987876	1.41899792258704	3.85210980053775	4.55946453648484	2.73984195982722
MSTRG.2710	7.6932709950434	25.4892497033791	5.47715915090888	1.88825911950477	2.51236460239067	0	1.0092120879387	5.20867127688642	4.86115094554247	5.21831629017853	5.66625337014585	1.53724774946929	14.1244026019718	0	1.67434786433886
MSTRG.27102	2.99182760918354	3.28893544559731	2.19086366036355	5.35006750526352	4.01978336382506	2.63339996234238	5.71886849831932	1.93464933141495	2.26853710791982	1.40493130889422	2.15317628065542	1.65549757635155	0.642018300089626	2.22127759469774	3.95754949752821
MSTRG.27103	2.13701972084539	0.411116930699663	0	1.10148448637778	0	0.11969999828829	0	0.892915076037672	0	0	0	0.118249826882253	0	0	0.152213442212623
