"Log2MeanExon"	"Log2FC"	"pvalue"	"padj"
"MSTRG.23649:ENST00000676637.1"	3.86442103542622	2.13888269233476	1.44446465537942e-10	1.03067903030416e-07
"MSTRG.23649:ENST00000657398.1"	3.1286973199357	1.63047171752344	1.46276884265415e-10	1.03416415185884e-07
"MSTRG.23649:ENST00000666607.1"	3.67341838980621	1.51183840225436	1.53476675519027e-10	1.07520177898612e-07
"MSTRG.6312:ENST00000552551.5"	3.30581131748417	-2.05421417732395	1.60081519267136e-10	1.11136955295171e-07
"MSTRG.22617:ENST00000407193.7"	13.4184089231613	0.285261854015321	2.71494573460105e-10	1.86802810892702e-07
"MSTRG.27853:MSTRG.27853.2"	12.8664114998823	0.248324298027544	3.03688604341816e-10	2.07104878122027e-07
"MSTRG.28327:ENST00000602920.6"	2.97147422479093	2.22076259556215	3.39983254065174e-10	2.29822715129565e-07
"MSTRG.25047:ENST00000422479.5"	2.14187597335458	2.85553213066634	3.43999993418497e-10	2.3051589124188e-07
"MSTRG.27116:ENST00000486466.1"	0.68812609372892	-5.6629210769877	3.79496994806297e-10	2.52110322532439e-07
"MSTRG.96:ENST00000470122.1"	3.55138431244383	-1.41109909655563	4.95239241577763e-10	3.26189114824492e-07
"MSTRG.18065:MSTRG.18065.4"	3.88195218424652	-1.73274505521834	5.99130571824274e-10	3.9127288242307e-07
"MSTRG.19153:ENST00000303436.11"	6.49407586332843	-0.32504454514535	6.59078218991588e-10	4.26805762285124e-07
"ENSG00000235487.8:ENST00000495389.1"	3.34312103458742	2.0048965213086	7.26624382328202e-10	4.66626067924799e-07
"MSTRG.12801:ENST00000317114.4"	5.94167207690967	0.529879254302582	8.51214233292549e-10	5.42117944181739e-07
"MSTRG.56:ENST00000419135.6"	3.70276898636815	1.20147383799468	1.12281025570832e-09	7.05680291422182e-07
"MSTRG.3806:ENST00000299179.9"	4.67922645080279	0.78358805732312	1.12634860041172e-09	7.05680291422182e-07
"ENSG00000241863.6:ENST00000493641.1"	2.07436178028905	-2.17190586423506	1.41866820786634e-09	8.81656527698357e-07
"MSTRG.14816:ENST00000669440.2"	6.13469830960084	-0.554827535840316	1.74208211925633e-09	1.07398665819305e-06
"MSTRG.15163:ENST00000392061.6"	5.50313256232953	0.760640901842567	2.16279050289036e-09	1.32276953756934e-06
"MSTRG.15132:ENST00000437765.1"	2.9632171461991	-1.87793068616301	2.21997569787911e-09	1.34705328527527e-06
"MSTRG.1358:ENST00000478255.1"	5.79252108032954	1.28638563215152	2.40853443312423e-09	1.45005062879234e-06
"ENSG00000224398.7:ENST00000431476.5"	2.12098060851284	-1.41353296672166	2.64362811627429e-09	1.57925015423511e-06
"MSTRG.26706:MSTRG.26706.2"	6.74037424313993	-0.806171391601669	2.78893242733685e-09	1.65323623627256e-06
