GeneName	FoldChange	Pvalue
AFAP1	-1.87598046948333	0.0520886452220938
ASPH	-1.34243681954268	0.0520886452220938
HPS4	-4.71972097045297	0.0521598778227848
MRPL36	0.394766001587534	0.0538176050868986
SERF1B	0.475965320207097	0.0538578549643589
TIMM10	0.368837936172255	0.0541055752674119
ADIRF	-0.846145374216428	0.0541055752674119
PGAP2	-1.63973665074587	0.0541055752674119
CHCHD7	0.374619778539442	0.0541055752674119
RPLP2	0.210096297063764	0.0541055752674119
DYNC1H1	-0.708010501753417	0.0541055752674119
RPE	0.76939258753362	0.0541055752674119
NME2	0.22813747855894	0.0541055752674119
GAPLINC	0.9592427448863	0.0541055752674119
SLIRP	0.317668783483319	0.0545808536064748
CHCHD6	1.85864204500338	0.0545808536064748
EEF1A1	-0.198125198496076	0.054711426490605
SF3B6	0.418173887325144	0.0549675900112689
MRPS16	0.414818236121095	0.0549675900112689
NBDY	0.341326790399197	0.0549675900112689
NDUFA6	0.321692690320676	0.0549675900112689
PRCP	-0.487953389846226	0.0551702028965438
RPS9	-0.586180967851025	0.0551702028965438
RPL38	0.254256878108475	0.0552701913968865
TBC1D22A	-2.34689333436203	0.0553798489485171
RPL6	0.44078940904525	0.0553798489485171
MRPL20	0.41784728384941	0.0553798489485171
ERCC6	-3.11873351492258	0.0559068578343651
PTCHD4	5.39570144269852	0.0559068578343651
TPM4	-0.301129727359672	0.0560775099371551
HMGB1	0.297397719589025	0.0560775099371551
TMA7	0.273560509760127	0.0560775099371551
RPS9	-0.604561686081974	0.0560775099371551
CDKN3	0.570820377911547	0.0564787371107251
PSMA6	0.489960296568784	0.0564787371107251
HIGD2A	0.366480639650984	0.0564787371107251
GPALPP1	-2.02416859913293	0.0570968435493852
COMMD6	0.258617402710035	0.0570968435493852
RPL36	0.268781498458656	0.0576625369662008
TFAP4	-2.63174756153289	0.0576745752509739
NDUFV2	0.353585192366486	0.0576745752509739
ADAM15	-1.63237353482605	0.0577340329558623
MRPS7	0.500490793312583	0.0582581343326515
VAMP8	0.400972767772238	0.0583371709769779
H3-3B	0.324194759029407	0.0583371709769779
DPM3	0.331314515779919	0.0598007403417847
NDUFA3	0.305247066024119	0.0598007403417847
NHP2	0.325578811138254	0.0599611087005967
CHURC1	0.321392427542655	0.0601161567498711
MRPL33	0.265045606480479	0.0608464997519323
TNFRSF12A	-0.485505333238243	0.0613269484614147
LSM6	0.429299433952815	0.0617000260368703
PPIB	0.372998145349445	0.0617000260368703
TMEM256	0.307635664564247	0.0617000260368703
MRPL9	-1.47185302274795	0.061730744430189
PSMA2	0.468924568137213	0.0622483066706084
TMEM256	0.306906576411251	0.0622483066706084
SNRPD2	0.300057522515901	0.0625503669893439
NDUFC2	0.306866787145813	0.0625503669893439
HM13	-0.421791512778205	0.0631297080927888
COX14	0.308935249310828	0.0631297080927888
TSTD1	0.28529502756877	0.0631297080927888
SMUG1	0.648449670256763	0.0638707735487765
SCGB1A1	3.53321946962945	0.0638707735487765
ERVK3-1	0.768236498798895	0.0643928516640378
JPX	0.439949620404501	0.0646678300632327
NDUFC1	0.257075647428383	0.0650357924329489
RNA5S8	-0.799679474558368	0.0655795501183456
