transcript_id,q_value
ENST00000357790.5,0.068228379
ENST00000525928.5,0.068228379
ENST00000511860.1,0.068345049
ENST00000679106.1,0.068345049
ENST00000375784.8,0.068345049
ENST00000514505.7,0.068969731
ENST00000533774.5,0.069119293
ENST00000219169.9,0.069496299
ENST00000483290.5,0.071334051
ENST00000396861.5,0.071791488
ENST00000616082.3,0.071976065
ENST00000541478.5,0.074457585
ENST00000476826.5,0.074677141
ENST00000467531.5,0.074677141
ENST00000679150.1,0.074677141
ENST00000305366.8,0.074677141
ENST00000578181.1,0.074677141
ENST00000471855.1,0.075028151
ENST00000476268.6,0.075277052
ENST00000518139.5,0.075277052
ENST00000628004.1,0.075916241
ENST00000452606.2,0.076112113
ENST00000393366.7,0.076271474
ENST00000601048.6,0.076271474
ENST00000312726.9,0.077204054
ENST00000372079.1,0.077233771
ENST00000676477.1,0.077233771
ENST00000633361.1,0.077233771
ENST00000476288.5,0.07754481
ENST00000428792.1,0.078302552
ENST00000697728.1,0.078302552
ENST00000374515.9,0.07843496
ENST00000375370.10,0.07843496
ENST00000464794.5,0.07843496
ENST00000519882.5,0.078755406
ENST00000291458.9,0.078755406
ENST00000614624.4,0.078755406
ENST00000508682.5,0.078755406
ENST00000308153.9,0.079021498
ENST00000555698.5,0.079096931
ENST00000688584.1,0.079096931
ENST00000645521.1,0.079642044
ENST00000548580.5,0.07985613
ENST00000513339.5,0.07985613
ENST00000638558.1,0.07985613
ENST00000576017.1,0.080115321
ENST00000453013.5,0.080720393
ENST00000543703.1,0.0809061
ENST00000465573.1,0.0809061
ENST00000590925.6,0.081057288
ENST00000466227.6,0.081057288
